name,lat,lon,population,households,housing
東京都千代田区,35.69389,139.75361,61269,34344,41700
東京都中央区,35.67083,139.77222,156823,89132,105540
東京都港区,35.65806,139.75167,253639,143898,160440
東京都新宿区,35.69389,139.70361,342297,216529,244780
東京都文京区,35.70806,139.75222,217419,118654,139790
東京都台東区,35.71278,139.78,196134,116158,131160
東京都墨田区,35.71056,139.80167,268898,147988,154720
東京都江東区,35.67306,139.81722,513197,262988,275340
東京都品川区,35.60889,139.73028,387622,215574,243080
東京都目黒区,35.64139,139.69833,276786,154592,162000
東京都大田区,35.56139,139.71611,723341,385193,427580
東京都世田谷区,35.64611,139.65306,900107,473163,521110
東京都渋谷区,35.664145,139.698504,224680,136259,160700
東京都中野区,35.7075,139.66389,328683,201754,229060
東京都杉並区,35.69944,139.63639,564489,317929,346540
東京都豊島区,35.72611,139.71667,287111,177671,206360
東京都北区,35.75278,139.73361,348030,193253,204540
東京都荒川区,35.73611,139.78333,214644,114209,119010
東京都板橋区,35.75111,139.70944,561713,303189,336280
東京都練馬区,35.73556,139.65222,728479,365725,376710
東京都足立区,35.775,139.80472,685447,340838,356080
東京都葛飾区,35.74333,139.84722,460423,229819,237010
東京都江戸川区,35.70667,139.86833,695366,338263,340430
北九州市門司区,33.94111,130.95972,100304,50758,51060
北九州市若松区,33.90556,130.81111,83763,40144,40220
北九州市戸畑区,33.89333,130.82972,58560,30203,32470
北九州市小倉北区,33.88083,130.87361,180996,100819,113010
北九州市小倉南区,33.84639,130.88472,213138,101044,101010
北九州市八幡東区,33.86361,130.81194,67771,35219,37500
北九州市八幡西区,33.86639,130.76417,256492,123530,126550
